day month year Tmin Tmax pr eto
4 12 2013 -12.400579833984352 0.8325744628906477 0.0 0.74
5 12 2013 -14.384497070312477 -5.988928222656284 0.0 0.99
6 12 2013 -15.447180175781227 -8.472357177734352 0.0 0.48
7 12 2013 -17.67058410644529 -8.421545410156284 1.05 0.69
8 12 2013 -16.256994628906284 -7.138525390624977 1.2 0.37
9 12 2013 -16.972143554687477 -3.0342163085937273 0.0 0.68
10 12 2013 -14.612860107421852 2.3277221679687727 0.0 1.11
11 12 2013 -13.556829833984352 -0.15570678710935226 0.0 0.52
12 12 2013 -11.238745117187477 4.266198730468773 0.0 0.96
13 12 2013 -9.001989746093727 2.597009277343716 0.0 0.8
14 12 2013 -10.043493652343727 8.066918945312523 0.0 1.47
15 12 2013 -4.361334228515602 14.286309814453148 0.0 2.4
16 12 2013 -0.8234924316406023 18.469384765625023 0.0 3.05
17 12 2013 -1.1175903320312273 12.755578613281273 0.0 1.64
18 12 2013 -0.39685668945310226 20.365930175781273 0.0 3.54
19 12 2013 -6.937872314453102 10.029534912109398 0.0 1.4
20 12 2013 -10.399969482421852 3.3464904785156477 0.0 1.11
21 12 2013 -9.683691406249977 1.8500915527343977 0.0 0.81
22 12 2013 -10.718542480468727 3.3731628417968977 0.0 1.03
23 12 2013 -12.909643554687477 -2.4791015624999773 0.0 0.37
24 12 2013 -13.043310546874977 10.100671386718773 0.0 1.92
25 12 2013 -6.317419433593727 8.885003662109398 0.0 1.45
26 12 2013 -5.685797119140602 13.008386230468773 0.0 2.46
27 12 2013 -2.8742431640624773 16.017724609375023 0.0 2.7
28 12 2013 -1.7547363281249773 15.921166992187523 0.0 2.74
29 12 2013 -10.954687499999977 2.4013916015625227 0.0 1.38
30 12 2013 -9.906500244140602 10.458886718750023 0.0 2.33
31 12 2013 -9.906500244140602 10.458886718750023 0.0 1.66
1 1 2014 -11.004644775390602 -4.161505126953102 1.61 0.16
2 1 2014 -8.743719482421852 7.898675537109398 0.0 1.25
3 1 2014 -7.504217529296852 15.108575439453148 0.0 2.52
4 1 2014 -16.224279785156284 -1.3313049316406023 0.91 0.13
5 1 2014 -23.424688720703102 -8.791021728515602 0.0 0.09
6 1 2014 -22.83466186523438 -4.521124267578102 0.0 0.72
7 1 2014 -9.414312744140602 10.209039306640648 0.0 1.98
8 1 2014 -11.054205322265602 0.39861450195314774 0.0 0.61
9 1 2014 -10.984808349609352 3.0786376953125227 0.0 0.95
